lga_code,lga_name,area_sqkm,mode,has_service,mode_count,n_stops,n_routes,n_trips,n_stop_events,weekday_stop_events,weekend_stop_events,first_service_hour,last_service_hour,service_span_hours,stop_density,route_density,events_per_stop,weekend_weekday_ratio,coverage_gap,frequency_gap,service_gap,weekend_weekday_gap,mode_diversity_gap,overall_score
20110,Alpine,4788.157,All,TRUE,1,22,6,147,423,353,70,6.3,22.2,15.899999999999999,0.004594669723653589,0.0012530917428146152,19.227272727272727,0.19830028328611898,99.87483712337118,70.79815438924197,69.0119760479042,80.16997167138811,66.66666666666667,78.49613883844235
20110,Alpine,4788.157,Bus,TRUE,1,22,6,147,423,353,70,6.3,22.2,15.899999999999999,0.004594669723653589,0.0012530917428146152,19.227272727272727,0.19830028328611898,99.86136830447126,69.30881709641037,69.0119760479042,80.16997167138811,66.66666666666667,78.12043731050946
20110,Alpine,4788.157,Train,FALSE,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,66.66666666666667,100
20110,Alpine,4788.157,Tram,FALSE,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,66.66666666666667,100
20260,Ararat,4211.1172,All,TRUE,2,90,16,600,1855,1073,782,5.966666666666667,23.75,17.78333333333333,0.021372000760273308,0.003799466801826366,20.61111111111111,0.7287977632805219,99.31550279348126,69.82481242407268,60.55389221556887,27.12022367194781,33.333333333333336,63.46389079829443
20260,Ararat,4211.1172,Bus,TRUE,2,89,15,410,1665,973,692,5.966666666666667,22.133333333333333,16.166666666666664,0.02113453408515916,0.003562000126712218,18.707865168539325,0.71120246659815,99.25054137587067,69.710957232927,67.81437125748504,28.879753340184998,33.333333333333336,65.13521190472417
20260,Ararat,4211.1172,Train,TRUE,2,1,1,190,190,100,90,6.166666666666667,23.75,17.583333333333332,2.374666751141479e-4,2.374666751141479e-4,190,0.9,99.97613583990088,29.73199785087193,28.908355795148257,9.999999999999998,33.333333333333336,44.70870458172285
20260,Ararat,4211.1172,Tram,FALSE,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,33.333333333333336,100
20570,Ballarat,739.0321,All,TRUE,2,615,33,11418,254407,129315,125092,3.9166666666666665,29.583333333333332,25.666666666666664,0.8321695363435498,0.044652999511117314,413.669918699187,0.9673433089742103,79.58141835928095,26.372040545137335,25.14970059880241,3.265669102578972,33.333333333333336,37.008155211251896
20570,Ballarat,739.0321,Bus,TRUE,2,613,30,10290,252236,128036,124200,3.9166666666666665,29.583333333333332,25.666666666666664,0.8294632939489367,0.040593635919197554,411.4779771615008,0.9700396763410291,77.43945840619706,22.698836475142855,25.14970059880241,2.9960323658970944,33.333333333333336,35.51391869498002
20570,Ballarat,739.0321,Train,TRUE,2,2,3,1128,2171,1279,892,4.383333333333334,25.85,21.46666666666667,0.0027062423946131705,0.004059363591919755,1085.5,0.6974198592650508,99.72837186970762,6.474080256002783,13.207547169811317,30.25801407349492,33.333333333333336,38.7308245764141
20570,Ballarat,739.0321,Tram,FALSE,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,33.333333333333336,100
20660,Banyule,62.5402,All,TRUE,3,583,33,24127,378489,266485,112004,2.4833333333333334,28.5,26.016666666666666,9.32200408697126,0.5276606086964865,649.2092624356775,0.4203013302812541,21.199281884594914,19.75601742862918,23.57784431137726,57.96986697187458,0,23.64987373636266
20660,Banyule,62.5402,Bus,TRUE,3,557,31,18555,349101,246750,102351,2.4833333333333334,27.25,24.766666666666666,8.906271486180088,0.49568117786639637,626.7522441651705,0.4147963525835866,14.257220004250936,16.20680471104148,29.191616766467078,58.52036474164134,0,22.232384243362723
20660,Banyule,62.5402,Train,TRUE,3,19,1,1941,16726,11048,5678,3.4166666666666665,27.016666666666666,23.599999999999998,0.3038045928858558,0.015989715415045045,880.3157894736842,0.5139391745112237,73.33691749218977,9.274229337807427,4.582210242587613,48.60608254887763,0,28.860141138348467
20660,Banyule,62.5402,Tram,TRUE,3,7,1,3631,12662,8687,3975,2.8166666666666664,28.5,25.683333333333334,0.1119280079053153,0.015989715415045045,1808.857142857143,0.45758029239092896,95.3041172907186,8.16939854824238,2.5916561314791413,54.24197076090711,0,34.523005800172136
20740,Bass Coast,865.8094,All,TRUE,1,223,12,380,5591,3909,1682,5.183333333333334,23.7,18.516666666666666,0.2575624612068199,0.013859863383326631,25.071748878923767,0.4302890764901509,92.29022097575567,67.0648517849175,57.260479041916184,56.97109235098491,66.66666666666667,69.83652785119926
20740,Bass Coast,865.8094,Bus,TRUE,1,223,12,380,5591,3909,1682,5.183333333333334,23.7,18.516666666666666,0.2575624612068199,0.013859863383326631,25.071748878923767,0.4302890764901509,91.4605690834949,65.38511054063157,57.260479041916184,56.97109235098491,66.66666666666667,69.20917956706259
20740,Bass Coast,865.8094,Train,FALSE,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,66.66666666666667,100
20740,Bass Coast,865.8094,Tram,FALSE,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,66.66666666666667,100
20830,Baw Baw,4027.6287,All,TRUE,2,190,12,3402,37107,19027,18080,3.5,26.45,22.95,0.04717415982262714,0.002979420620376451,195.3,0.9502286224838388,98.47297482384832,37.37157948476519,37.35029940119762,4.977137751616123,33.333333333333336,47.17776912013532
20830,Baw Baw,4027.6287,Bus,TRUE,2,185,10,2459,32464,16474,15990,3.5,26.333333333333332,22.833333333333332,0.045932734564136955,0.002482850516980376,175.48108108108107,0.9706203714944761,98.35302090654687,35.822701606094554,37.874251497006,2.937962850552389,33.333333333333336,46.55947535514441
20830,Baw Baw,4027.6287,Train,TRUE,2,5,2,943,4643,2553,2090,4.966666666666667,26.45,21.483333333333334,0.001241425258490188,4.965701033960752e-4,928.6,0.81864473168821,99.87530581894733,8.560637127818602,13.140161725067385,18.135526831179007,33.333333333333336,37.45734710638181
20830,Baw Baw,4027.6287,Tram,FALSE,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,33.333333333333336,100
20910,Bayside (Vic.),37.2111,All,TRUE,3,484,27,17291,260618,183322,79782,3.6,32.516666666666666,28.916666666666664,13.006871605515558,0.7255899449357852,538.4669421487604,0.4352014488168359,10.890075188740337,22.502270120657705,10.553892215568885,56.479855118316415,0,18.930843038210746
20910,Bayside (Vic.),37.2111,Bus,TRUE,3,457,23,10684,228760,161800,69446,5.666666666666667,32.516666666666666,26.849999999999998,12.281281660579772,0.6180951382786318,500.5689277899344,0.4292088998763906,3.2905800167898267,19.675782192507288,19.835329341317383,57.07911001236094,0,18.2705229224419
20910,Bayside (Vic.),37.2111,Train,TRUE,3,17,3,3968,17424,11507,5917,3.6,27.133333333333333,23.53333333333333,0.4568529282929018,0.08062110499286503,1024.9411764705883,0.5142087425045624,62.181479069539904,7.241357106574053,4.851752021563354,48.57912574954376,0,25.612928310772727
20910,Bayside (Vic.),37.2111,Tram,TRUE,3,10,1,2639,14434,10015,4419,5.116666666666666,26.116666666666667,21,0.2687370166428834,0.026873701664288343,1443.4,0.44123814278582124,89.46492954818031,10.93072929719777,20.353982300884958,55.87618572141788,0,37.551139029734195
21010,Benalla,2352.6398,All,TRUE,2,57,7,368,1389,1207,182,5.916666666666667,21.25,15.333333333333332,0.024228103256605623,0.00297538110168841,24.36842105263158,0.1507870753935377,99.2212000550562,67.4670859878648,71.55688622754492,84.92129246064624,33.333333333333336,73.72164262533617
21010,Benalla,2352.6398,Bus,TRUE,2,56,6,327,1348,1193,155,5.916666666666667,21.25,15.333333333333332,0.02380304881350728,0.0025503266585900656,24.071428571428573,0.12992455993294216,99.15291936186745,65.98990335552239,71.55688622754492,87.00754400670579,33.333333333333336,73.64821452586231
21010,Benalla,2352.6398,Train,TRUE,2,1,1,41,41,14,27,8.05,20.4,12.349999999999998,4.2505444309834427e-4,4.2505444309834427e-4,41,1,99.9572882545366,49.99525817376492,50.06738544474395,0,33.333333333333336,52.50161369602417
21010,Benalla,2352.6398,Tram,FALSE,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,33.333333333333336,100
21110,Boroondara,60.1776,All,TRUE,3,705,48,38760,706067,500727,205340,2.283333333333333,27.666666666666668,25.383333333333333,11.715322644970886,0.7976389885937625,1001.5134751773049,0.4100837382445924,14.157068497488059,13.387685553499564,26.422155688622762,58.991626175540766,0,21.019363576802572
21110,Boroondara,60.1776,Bus,TRUE,3,433,39,16044,268273,204028,64245,2.3833333333333333,27.366666666666667,24.983333333333334,7.195368376272899,0.648081678232432,619.568129330254,0.31488325131844647,21.34913849250163,16.38473580755595,28.2185628742515,68.51167486815535,0,25.353932380087997
21110,Boroondara,60.1776,Train,TRUE,3,31,3,4667,29589,18452,11137,3.033333333333333,27.633333333333333,24.6,0.5151418468001383,0.049852436787110155,954.483870967742,0.6035660091047041,58.238552505642915,8.193214313783937,0.5390835579514806,39.64339908952959,0,22.662268279876447
21110,Boroondara,60.1776,Tram,TRUE,3,241,6,18049,408205,278247,129958,2.283333333333333,27.666666666666668,25.383333333333333,4.004812421897849,0.09970487357422031,1693.7966804979253,0.4670598425140253,28.72221177681472,8.973545039747934,3.7294563843236443,53.29401574859747,0,18.16393284329501
21180,Brimbank,123.3991,All,TRUE,2,838,57,31327,402782,260276,142526,0.9666666666666667,32.233333333333334,31.26666666666667,6.790973353938561,0.46191584865691887,480.64677804295945,0.5475956292550984,30.69940953003295,24.169772825597754,0,45.24043707449016,33.333333333333336,25.503361150081197
21180,Brimbank,123.3991,Bus,TRUE,2,815,48,23797,372069,242758,129331,0.9666666666666667,32.233333333333334,31.26666666666667,6.604586257112086,0.388981767290037,456.52638036809816,0.5327569019352606,24.14768154355764,21.09652696552411,0,46.72430980647394,33.333333333333336,23.319698598241526
21180,Brimbank,123.3991,Train,TRUE,2,23,9,7530,30713,17518,13195,3.6333333333333333,27.4,23.766666666666666,0.18638709682647603,0.07293408136688193,1335.3478260869565,0.753225254024432,82.82213384054519,3.7049952420839665,3.9083557951482555,24.677474597556802,33.333333333333336,31.115074619320463
21180,Brimbank,123.3991,Tram,FALSE,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,33.333333333333336,100
21270,Buloke,7998.247,All,TRUE,1,21,11,121,424,312,112,5.8,27.2,21.4,0.0026255753291940095,0.001375301362911148,20.19047619047619,0.358974358974359,99.9410957785286,70.11391766042946,44.31137724550899,64.1025641025641,66.66666666666667,70.99141342422593
21270,Buloke,7998.247,Bus,TRUE,1,21,11,121,424,312,112,5.8,27.2,21.4,0.0026255753291940095,0.001375301362911148,20.19047619047619,0.358974358974359,99.9347570756096,68.58968328297757,44.31137724550899,64.1025641025641,66.66666666666667,70.60877015413321
21270,Buloke,7998.247,Train,FALSE,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,66.66666666666667,100
21270,Buloke,7998.247,Tram,FALSE,1,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,66.66666666666667,100
21370,Campaspe,4519.073,All,TRUE,2,140,18,595,3304,2213,1091,5.25,22.783333333333335,17.533333333333335,0.030979804929019732,0.003983117776588252,23.6,0.4929959331224582,98.99931399694962,67.91949827690519,61.67664670658682,50.700406687754175,33.333333333333336,66.6700934129442
21370,Campaspe,4519.073,Bus,TRUE,2,138,17,483,3080,2093,987,5.25,22.783333333333335,17.533333333333335,0.030537236287176594,0.003761833455666682,22.318840579710145,0.47157190635451507,98.90769006962378,67.11014482958339,61.67664670658682,52.84280936454849,33.333333333333336,66.76620947080143
21370,Campaspe,4519.073,Train,TRUE,2,2,1,112,224,120,104,7.383333333333334,21.733333333333334,14.350000000000001,4.4256864184313903e-4,2.2128432092156952e-4,112,0.8666666666666667,99.95552872340578,36.75422615448583,41.98113207547169,13.33333333333333,33.333333333333336,49.57366513456724
21370,Campaspe,4519.073,Tram,FALSE,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,33.333333333333336,100
21450,Cardinia,1282.5671,All,TRUE,2,371,28,8255,110919,62621,48298,3,27.433333333333334,24.433333333333334,0.28926361825435876,0.021831216472027078,298.97304582210245,0.7712748119640376,91.44946642569616,31.134488425265353,30.688622754491025,22.872518803596243,33.333333333333336,45.21459108417802
21450,Cardinia,1282.5671,Bus,TRUE,2,355,25,5403,96761,54098,42663,3,25.666666666666668,22.666666666666668,0.2767886374132005,0.01949215756430989,272.5661971830986,0.7886243484047469,90.89303435895042,29.046738977520093,38.622754491017965,21.137565159525305,33.333333333333336,45.880129006250016
21450,Cardinia,1282.5671,Train,TRUE,2,16,3,2852,14158,8523,5635,3.2,27.433333333333334,24.233333333333334,0.01247498084115833,0.0023390589077171868,884.875,0.6611521764636865,98.75393700605008,9.20519781632601,2.0215633423180592,33.88478235363135,33.333333333333336,37.47681372710233
21450,Cardinia,1282.5671,Tram,FALSE,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,33.333333333333336,100
21610,Casey,409.4287,All,TRUE,2,1378,57,23714,512421,289431,241086,3.15,31.183333333333334,28.033333333333335,3.365665377146253,0.13921837917078114,371.85849056603774,0.832965369984556,50.25927756580146,27.935310045468103,14.520958083832339,16.703463001544407,33.333333333333336,29.95835796981552
21610,Casey,409.4287,Bus,TRUE,2,1365,54,19896,501003,282267,236832,4.416666666666667,31.183333333333334,26.766666666666666,3.333913816984496,0.13189109605652952,367.03516483516484,0.8390353813942119,45.17970211508484,24.46118251425703,20.209580838323365,16.096461860578813,33.333333333333336,28.866606604086964
21610,Casey,409.4287,Train,TRUE,2,13,3,3818,11418,7164,4254,3.15,27.166666666666668,24.01666666666667,0.031751560161757106,0.007327283114251639,878.3076923076923,0.5938023450586265,96.85837123279283,9.304747522455132,2.8975741239892114,40.61976549413735,33.333333333333336,38.213259337730435
21610,Casey,409.4287,Tram,FALSE,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,33.333333333333336,100
21670,Central Goldfields,1532.7843,All,TRUE,2,101,13,447,2354,1427,927,5.75,28.4,22.65,0.06589315926578841,0.008481297727279695,23.306930693069308,0.649614576033637,97.8746298745266,68.09577771354569,38.69760479041918,35.038542396636295,33.333333333333336,59.48790421459736
21670,Central Goldfields,1532.7843,Bus,TRUE,2,99,12,371,2202,1347,855,5.75,28.4,22.65,0.0645883442308223,0.007828890209796642,22.242424242424242,0.6347438752783965,97.69173535637346,67.16088614148465,38.69760479041918,36.525612472160354,33.333333333333336,59.43151820337242
